time,flux,flux_err
1325.2969604950604,0.99972236,8.9012006e-05
1325.2983493645327,0.99981856,8.90058e-05
1325.299738234005,0.9998267,8.900663e-05
1325.301127103477,0.9998396,8.900033e-05
1325.3025159730657,0.9997636,8.899915e-05
1325.303904842538,0.99990845,8.900453e-05
1325.3052937121265,0.99983364,8.900287e-05
1325.3066825815986,0.9998321,8.900387e-05
1325.3080714511873,0.9999611,8.9005494e-05
1325.309460320776,0.9999915,8.9005625e-05
1325.310849190248,0.9996862,8.899465e-05
1325.3122380598365,0.9997508,8.900055e-05
1325.3136269294255,0.9996694,8.899388e-05
1325.3150157990146,0.9999275,8.900255e-05
1325.3164046686034,1.0001297,8.9017165e-05
1325.3177935381912,0.9998289,8.9003406e-05
1325.3191824077803,0.9998865,8.900563e-05
1325.320571277369,1.0001916,8.901784e-05
1325.3219601469568,0.9998676,8.90103e-05
1325.3233490165462,0.99998236,8.900769e-05
1325.324737886135,0.99983203,8.900482e-05
1325.3261267557227,0.99990374,8.9006884e-05
1325.3275156254285,1.0001566,8.902396e-05
1325.328904495017,0.999818,8.9005625e-05
1325.3302933647215,0.9999848,8.901089e-05
1325.3316822343108,1.0000951,8.901653e-05
1325.3330711040164,0.999792,8.90011e-05
1325.3344599736051,0.999824,8.90108e-05
1325.33584884331,0.9999644,8.901156e-05
1325.3372377130152,0.99999744,8.901839e-05
1325.3386265826039,0.99981093,8.90128e-05
1325.3400154523088,0.99998325,8.901965e-05
1325.3414043220137,0.99990034,8.901437e-05
1325.3427931917188,1.0000932,8.9022855e-05
1325.344182061424,1.0000236,8.901435e-05
1325.3455709311288,0.99988544,8.901668e-05
1325.3469598008346,0.99976975,8.900561e-05
1325.3483486705395,0.9999233,8.9013185e-05
1325.349737540244,0.99980134,8.900862e-05
1325.3511264099498,0.99999905,8.902252e-05
1325.3525152796547,0.99996805,8.901879e-05
1325.3539041494755,1.0002145,8.902541e-05
1325.355293019181,0.99996567,8.9021865e-05
1325.3566818888862,0.9999895,8.902197e-05
1325.3580707587068,1.0002027,8.902684e-05
1325.3594596284124,0.9999097,8.9020534e-05
1325.3608484982342,0.9999856,8.902382e-05
1325.3622373679384,0.99998343,8.902543e-05
1325.3636262377604,1.0000744,8.902781e-05
1325.3650151075826,1.0000311,8.9031564e-05
1325.366403977287,0.99997157,8.902834e-05
1325.3677928471084,0.9998397,8.902083e-05
1325.3691817169306,1.0000184,8.9027635e-05
1325.3705705867512,0.9999865,8.902992e-05
1325.3719594565728,0.9998129,8.902353e-05
1325.373348326395,0.9999795,8.902988e-05
1325.3747371962163,0.9999583,8.903277e-05
1325.3761260660376,0.9999929,8.903108e-05
1325.3775149358592,1.0001543,8.9032765e-05
1325.3789038056807,0.9999535,8.903155e-05
1325.380292675502,0.99995667,8.9036024e-05
1325.3816815454397,0.99992824,8.903468e-05
1325.383070415262,1.0000345,8.903528e-05
1325.3844592850835,0.999915,8.9033514e-05
1325.3858481550205,1.0000398,8.903447e-05
1325.3872370248428,0.9999127,8.903799e-05
1325.3886258947805,0.9999281,8.903851e-05
1325.3900147646013,1.0000683,8.9041576e-05
1325.39140363454,0.9999966,8.904011e-05
1325.3927925043613,0.9999359,8.903559e-05
1325.3941813742986,0.99991703,8.903698e-05
1325.3955702442372,0.9999433,8.904173e-05
1325.396959114175,0.9998045,8.904093e-05
1325.3983479841122,0.9999407,8.904402e-05
1325.3997368539342,1.0000819,8.904908e-05
1325.4011257238726,0.9998759,8.9034074e-05
1325.4025145938099,1.0000525,8.9051435e-05
1325.4039034637476,0.9999317,8.904537e-05
1325.4052923336862,0.99995667,8.904884e-05
1325.40668120374,1.0000608,8.9046116e-05
1325.4080700736777,0.9999664,8.9048815e-05
1325.4094589436163,1.0001069,8.9051246e-05
1325.410847813554,0.9999936,8.904978e-05
1325.4122366836084,0.99999076,8.905114e-05
1325.4136255535464,0.9997589,8.903605e-05
1325.415014423484,0.9999137,8.903994e-05
1325.4164032935382,0.99987215,8.904272e-05
1325.4177921634764,0.9999597,8.905588e-05
1325.4191810335312,0.999799,8.904111e-05
1325.4205699034692,0.99993414,8.904643e-05
1325.4219587735226,0.9999822,8.904912e-05
1325.4233476435775,1.0000182,8.905632e-05
1325.4247365135154,0.9999711,8.9054316e-05
1325.426125383569,1.0000675,8.906126e-05
1325.427514253624,0.9998984,8.904987e-05
1325.4289031236783,0.999896,8.905165e-05
1325.4302919937318,1.0000284,8.905567e-05
1325.4316808637868,0.9999998,8.905402e-05
1325.433069733841,1.0000474,8.9062414e-05
1325.4344586038947,0.99984443,8.905363e-05
1325.4358474739497,0.9999842,8.906229e-05
1325.4372363440045,0.9998742,8.9056935e-05
1325.438625214058,0.99970025,8.90489e-05
1325.440014084229,1.0000074,8.906065e-05
1325.4414029542838,1.0000215,8.9063025e-05
1325.4427918243373,1.0000404,8.9063644e-05
1325.444180694508,0.99980354,8.905926e-05
1325.445569564563,0.99973994,8.905167e-05
1325.446958434733,0.99988407,8.906003e-05
1325.4483473047871,0.9996164,8.905496e-05
1325.4497361749586,0.99970394,8.9051726e-05
1325.4511250450128,0.99966764,8.905427e-05
1325.4525139151838,0.9996417,8.904837e-05
1325.4539027853543,0.99965894,8.905067e-05
1325.4552916554094,0.99971974,8.905602e-05
1325.45668052558,0.9997133,8.9059205e-05
1325.45806939575,0.99972475,8.9057394e-05
1325.4594582659213,0.9996129,8.904841e-05
1325.460847136092,0.9998141,8.906332e-05
1325.462236006262,0.99964535,8.905089e-05
1325.4636248764332,0.99953187,8.905691e-05
1325.4650137466042,0.99964905,8.905429e-05
1325.466402616774,0.9997091,8.905545e-05
1325.4677914869453,0.9996667,8.905962e-05
1325.469180357116,0.9996663,8.9063666e-05
1325.470569227286,0.9996146,8.905964e-05
1325.4719580975739,0.99956936,8.905411e-05
1325.4733469677453,0.99951166,8.905665e-05
1325.4747358379152,0.9995307,8.90602e-05
1325.4761247082024,0.99972844,8.906003e-05
1325.4775135783739,0.9997745,8.9077366e-05
1325.4789024486602,0.999748,8.9072484e-05
1325.480291318831,0.99966943,8.906666e-05
1325.4816801891186,0.9995258,8.906097e-05
1325.483069059405,0.99960893,8.9066736e-05
1325.4844579295757,0.99951756,8.906357e-05
1325.4858467998633,0.99972844,8.9071975e-05
1325.4872356701499,0.9998608,8.908384e-05
1325.4886245404368,0.9997279,8.9065674e-05
1325.4900134106083,0.999781,8.907485e-05
1325.4914022808962,0.9995975,8.907103e-05
1325.4927911511832,0.999684,8.9069996e-05
1325.4941800214697,0.99971205,8.907309e-05
1325.4955688917576,0.99970514,8.9075664e-05
1325.4969577620445,0.999565,8.906929e-05
1325.498346632331,0.9996484,8.907713e-05
1325.4997355027353,0.9994813,8.90692e-05
1325.5011243730223,0.99953616,8.9069625e-05
1325.5025132433088,0.9997437,8.907849e-05
1325.5039021135965,0.9996575,8.9078974e-05
1325.505290984,0.9998549,8.908526e-05
1325.5066798542864,0.9995151,8.907323e-05
1325.508068724574,0.9997807,8.9083725e-05
1325.5094575949784,0.9996663,8.908521e-05
1325.5108464652649,0.99962074,8.9079134e-05
1325.5122353356683,0.99976945,8.908575e-05
1325.5136242059561,0.999658,8.908242e-05
1325.515013076359,0.99977565,8.9086825e-05
1325.5164019467625,0.9997605,8.9089044e-05
1325.5177908170504,0.99989206,8.909528e-05
1325.519179687453,0.99958444,8.9086134e-05
1325.5205685578567,0.9998142,8.908926e-05
1325.521957428261,0.9997615,8.908871e-05
1325.5233462986637,0.9997087,8.909084e-05
1325.5247351689509,0.99971443,8.909266e-05
1325.526124039355,0.99971735,8.909077e-05
1325.5275129097586,0.9996034,8.908974e-05
1325.528901780162,0.99970436,8.909937e-05
1325.5302906505653,0.9996571,8.909108e-05
1325.531679521086,0.9996192,8.909605e-05
1325.5330683914895,0.99973524,8.9096124e-05
1325.5344572618924,0.9996451,8.909262e-05
1325.5358461322967,0.9993783,8.908347e-05
1325.5372350027,0.9996769,8.909692e-05
1325.5386238732194,0.99962795,8.910113e-05
1325.5400127436237,0.9996012,8.9094145e-05
1325.5414016141435,0.9997601,8.9102796e-05
1325.5427904845465,0.99968743,8.910285e-05
1325.5441793549508,0.9998417,8.910406e-05
1325.5455682254712,0.9995433,8.909442e-05
1325.5469570959904,0.9997793,8.9108726e-05
1325.548345966394,0.9999672,8.911527e-05
1325.5497348369145,0.9998206,8.911303e-05
1325.5511237074338,0.9998534,8.910956e-05
1325.5525125778372,0.99963343,8.910838e-05
1325.553901448358,0.9998237,8.911038e-05
1325.5552903188773,0.99957716,8.910179e-05
1325.556679189397,0.9999062,8.912109e-05
1325.5580680599178,0.9996036,8.91072e-05
1325.5594569303212,0.999621,8.9106805e-05
1325.5608458008412,0.9998176,8.910943e-05
1325.5622346713612,0.99988675,8.91173e-05
1325.5636235419975,0.9999429,8.91236e-05
1325.5650124125173,0.9999781,8.912468e-05
1325.5664012830373,0.9997327,8.911436e-05
1325.5677901535573,1.0000087,8.912914e-05
1325.5691790240771,1.0000558,8.913008e-05
1325.5705678945972,1.0000054,8.9132154e-05
1325.571956765234,1.0000256,8.9127185e-05
1325.573345635754,1.0000249,8.913257e-05
1325.5747345062732,0.99991983,8.912921e-05
1325.5761233769103,1.000047,8.913203e-05
1325.577512247431,0.9999732,8.9133275e-05
1325.5789011180666,0.99984765,8.912138e-05
1325.5802899885866,1.0000098,8.913559e-05
1325.5816788592238,1.0000495,8.9137204e-05
1325.5830677297429,0.9997914,8.912847e-05
1325.5844566003793,1.0000067,8.91401e-05
1325.5858454710162,1.0000247,8.9139205e-05
1325.5872343415353,1.000032,8.9133864e-05
1325.5886232121718,0.99995196,8.913722e-05
